15673754727.2313,15983404502.6832,16332329921.6521,16728175263.9321,17180660232.3436,17702272592.8903,18309249773.062,19022994882.1,19872160641.3285,20895786075.2219,22148139502.5498,23706415734.5098,25683382831.1167,28248976536.2609,31668875393.1368,36377211276.4156,43122834225.0126,53288227973.644,69660092398.1249,98562762761.3473,157005792530.825,304747682728.927,888238950639.521,11399768792618.5,3956652241559.57,630828140068.142,254079437935.152,141340712318.584,93106711745.4704,68127586901.9272,53548181946.8024,44311621305.3461,38100512207.1098,33731003221.0049,30546928777.5317,28160714339.069,26331440339.1204,24902939116.9439,23770372543.5534,22861240559.0057,22124114089.3254,21521699337.0786,21026429834.723,20617585813.726,20279364989.7581,19999562276.3549,19768648794.9858,19579118539.0586,19425018117.5864,19301604134.3777
1896524321994.99,1933991944824.66,1976211920519.9,2024109206935.78,2078859888113.57,2141974983739.72,2215419222540.51,2301782380734.1,2404531437600.74,2528390115101.85,2679924879808.53,2868476303875.68,3107689322565.13,3418126160887.57,3831933922569.54,4401642564446.27,5217862941226.51,6447875584810.96,8428871180173.1,11926094294123,18997700896229.8,36874469610200.2,107476913027382,1.37937202390685e+15,478754921228710,76330204948245,30743611990153.4,17102226190548.7,11265912121201.9,8243438015133.2,6479330015563.05,5361706177946.89,4610161977060.29,4081451389741.59,3696178382081.32,3407446435027.35,3186104281033.55,3013255633150.22,2876215077769.96,2766210107639.69,2677017804808.36,2604125619786.51,2544198010001.47,2494727883460.84,2453803163760.73,2419947035438.95,2392006504193.28,2369073343226.08,2350427192227.96,2335494100259.7
6912125834709.01,7048681385683.27,7202557495448.52,7377125291394.06,7576671162463.55,7806702213464.62,8074379149920.37,8389140743006.07,8763622842825.87,9215041659172.79,9767329520624.43,10454529338918.9,11326371828522.5,12457798652491.1,13965974048373.4,16042350172899.3,19017169893230.6,23500108536377.1,30720100747573.1,43466178377754,69239554506094,134393728083457,391713377232029,5.02729803754482e+15,1.74488363852776e+15,278195209770049,112049032129402,62331254132495.8,41060059879752.5,30044265823749.9,23614748238539.8,19541424995657.7,16802325883335.5,14875372420463.2,13471195590891.5,12418875023529.4,11612165189552,10982196150572.3,10482734291707,10081807086521.6,9756734313392.5,9491069407651.58,9272655557112.87,9092355343853.17,8943199960483.34,8819806963872.48,8717974118588.74,8634391275724.85,8566432989855.62,8512007423260.63
15062478292869.2,15360051727078.5,15695369054707.5,16075776428638.8,16510614483282.1,17011883961767.6,17595189031912.6,18281098081698.1,19097146376316.6,20080850418288.2,21284362061950.4,22781865520864,24681730900703.2,27147266451346.7,30433789252804.5,34958500036635.4,41441043690237.2,51209987082672,66943348794598.2,94718815013654.9,150882566622123,292862523102498,853597631564578,1.09551778097064e+16,3.80234280413875e+15,606225842605481,244170339855681,135828424538160,89475549987397.2,65470611012752.2,51459802850877,42583468074437.7,36614592231032.7,32415494095385.7,29355598555208,27062446479845.3,25304514165894.7,23931724491383.2,22843328014354.8,21969652177204.6,21261273639841.6,20682353062932.5,20206399071168.8,19813499966990.7,19488469755157.5,19219579347577,18997671491981.3,18815532916035.3,18667442411000.6,18548841573137.1
26347581696475.8,26868102969010.3,27454646598297,28120062618669.9,28880689850569.5,29757520228648.5,30777848868517.4,31977654396810,33405102038073.2,35125816392447.8,37231022503786.2,39850484849711,43173766539107.3,47486529557454.6,53235379535863.2,61150092155654.8,72489484332246.4,89577511223695.6,117098615321248,165684004201825,263926737244317,512280854667326,1.49312967602504e+15,1.91630113403918e+16,6.65113241806166e+15,1.06042210345454e+15,427107535168992,237593737407541,156512382444136,114522473582140,90014493852574.8,74487835414287.2,64046961020151.8,56701816414509.4,51349387275031,47338160803974.8,44263151210061.5,41861840655582.9,39957996245713.1,38429745379688.9,37190635784155.9,36177976585628.8,35345428552169.4,34658161752873.5,34089612547783.4,33619264186552.6,33231098624371.1,32912498264157.5,32653455455662.9,32445996549889.1
40767436045528.7,41572835111478.9,42480390126216.9,43509983861487.6,44686897264325.7,46043611014107.7,47622358659734.2,49478809688342,51687489828095.5,54349939581652,57607310846132.1,61660387325460,66802478743734.9,73475587970814.4,82370744897549.3,94617126529957.4,112162491819258,138602680959448,181185900327523,256361745942265,408372066372675,792648722777940,2.3103095106134e+15,2.96507986296009e+16,1.02912524802965e+16,1.64078399231723e+15,660860618069334,367627192740640,242170557249968,177199853531914,139278821243633,115254527015205,99099432250693.1,87734339377834.1,79452561750359.7,73246017995918.3,68488076322052.4,64772544643171.5,61826738985782.1,59462086693974.4,57544820746335.4,55977939975741.5,54689744000114.5,53626340701501.6,52746628338360.5,52018861480799.2,51418255515758.1,50925287320091.5,50524472123842.5,50203472353516.8
58322041340027.7,59474248154484.2,60772599638467.2,62245540157091.6,63929236724550.7,65870156318145,68128718405563.9,70784563956294.1,73944309746383.6,77753219985900.3,82413227088987.9,88211572948110.8,95567867514585.7,105114441691426,117839885337863,135359603159543,160460066151273,198285496289930,259205203813422,366752040234973,584218554007198,1.13396612743434e+15,3.30513713532966e+15,4.24185396773339e+16,1.47227029908433e+16,2.34731150919355e+15,945429588556705,525928790537455,346450074404894,253502750862072,199252785024052,164883542877193,141772005922657,125513062985360,113665121981195,104786018055676,97979289501867.7,92663836454148.8,88449556234561.7,85066676120060.9,82323828526379.8,80082243233269.4,78239345415004.2,76718036812874.8,75459517126889.7,74418371230316.6,73559142166142.2,72853900083837.1,72280492415539.4,71821268984020.2
79011397579972.8,80572342098025.7,82331275135048.2,84326731505481.7,86607708231244.3,89237156140759.9,92296928106005.8,95894917200665.8,100175561792937,105335657605193,111648771232353,119504041717664,129469932851659,142403090719291,159642800856803,183377522044411,217382207328289,268625957215141,351156525778948,496854887079950,791466200147890,1.53623306863653e+15,4.47761255017381e+15,5.74662344835903e+16,1.99454839497017e+16,3.1800046540835e+15,1.2808144466311e+15,712498530797985,469350933908917,343431165572615,269936385193830,223374883000250,192064682036041,170037987237086,153987067967537,141958160983247,132736790749506,125535716088514,119826447992052,115243513657948,111527659124289,108490886358214,105994232796839,103933250086993,102228278913370,100817793435106,99653758575523.9,98698336555394.1,97921516330753.2,97299386441398.7
102835504765365,104867116942104,107156416615959,109753557906659,112722311784406,116144610481953,120126987761059,124809869421458,130381245967756,137097252439530,145313943276228,155537793634118,168508674754957,185341535054407,207779491454370,238670883184563,282928915350307,349624063735077,457039866224094,646670286477196,1.03011500479473e+15,1.99944954638448e+15,5.82773575514592e+15,7.47938830483698e+16,2.59595953568722e+16,4.13886342698706e+15,1.66701519229254e+15,927336413522232,610873135762028,446985097663546,351329621752970,290728547384376,249977460590847,221309112133014,200418399709385,184762446778630,172760580064968,163388183546269,155957414258253,149992599307637,145156312540064,141203869350572,137954406145617,135271980523857,133052913697802,131217128095164,129702104743901,128458596734764,127447543869484,126637824725652
129794362896202,132358572686719,135248024081200,138526019360621,142273047384037,146592519341724,151618897370726,157529420618670,164561362270839,173038004488912,183408743220614,196312828697476,212684093224476,233929774696776,262249957130564,301239686579996,357100190217327,441279815849745,576855225148869,816198238426711,1.30016496794775e+15,2.52361556067824e+15,7.35550675024586e+15,9.44014853716742e+16,3.27650372123548e+16,5.22388782790427e+15,2.104031825541e+15,1.17044243871019e+15,771016679964238,564164547134860,443432494701468,366944536029572,315510341587075,279326437673142,252959117206739,233198875441829,218050657448254,206221238827411,196842455033165,189313933069126,183209788773703,178221192210347,174119865461340,170734228123464,167933421480186,165616375210495,163704180671277,162134680621944,160858575031732,159836583836781
